function	P10F2	P10F3	P10F4	P1F1	P1F2	P1F3	P1F4	P1F5	P2F3	P3F1	P3F2	P3F3	P3F4	P3F5	P4F1	P4F2	P4F3	P4F4	P4F5	P5F1	P5F2	P5F3	P5F4	P5F5	P6F1	P6F2	P6F3	P6F4	P7F1	P7F2	P7F3	P7F4	P7F5	P8F1	P8F2	P8F3	P8F4	P9F1	P9F2	P9F3	P9F4	P9F5
RXN-16530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.78	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.22	0.33	0.0	0.0
RXN-16602	5823.93	2.0	3903.62	5297.959999999999	3893.1699999999987	4172.76	5265.660000000002	6765.29	7418.520000000002	2859.62	288.41	3287.92	3332.6099999999988	4119.18	6.0	8854.980000000001	7152.0999999999985	4467.530000000002	7012.380000000003	3332.3199999999993	5346.960000000001	4808.32	5323.21	3744.36	2015.72	9036.010000000002	4289.450000000002	6316.3899999999985	2963.07	4128.230000000001	5094.700000000002	2572.3299999999995	2649.2200000000007	6413.790000000001	6645.710000000003	5897.59	3966.59	2696.53	4452.540000000001	3309.3199999999993	5631.250000000001	2236.11
RXN-16614	1699.99	0.0	1205.08	1499.69	953.16	1033.4	1298.48	1713.0899999999995	1666.7199999999998	778.6999999999998	101.03	950.97	858.0	1114.56	0.0	3069.29	1879.09	997.84	2113.640000000001	1460.56	2491.53	2195.39	1840.19	1181.79	455.0	2697.24	919.12	1913.51	939.2	1870.32	1813.55	944.8900000000003	821.1700000000002	1987.63	2182.47	1576.66	951.09	787.5800000000003	1086.63	894.1599999999999	1422.16	629.8800000000001
RXN-16615	4092.969999999999	2.0	2697.350000000001	3218.49	2196.7400000000007	2484.73	3333.100000000001	3885.41	3484.35	1659.2700000000002	280.92	2042.1600000000005	1720.35	2598.3	4.0	6345.219999999998	4782.76	2219.76	5885.540000000001	3345.1800000000007	5861.05	5515.02	3498.17	2354.58	1010.6799999999997	7130.150000000002	1746.3300000000004	8585.66	1626.5100000000007	2904.57	3214.75	1786.9299999999994	1782.7499999999998	4681.9	5202.02	4148.6500000000015	1925.56	1763.3299999999995	2672.22	2122.51	3143.92	1307.8
RXN-16616	29651.040000000015	16.0	20234.17	33673.94000000002	21193.1	30495.96000000001	26707.63000000001	41206.85	34932.53000000001	15278.54	4535.79	18364.72	18470.91	30235.16	34.0	45261.38999999999	34136.810000000005	22018.370000000006	34539.91	18993.68	30483.86	27346.3	28095.67	18738.750000000004	9864.969999999998	43256.330000000016	17609.47	39194.97	14992.76	23665.31	24687.669999999995	12574.590000000002	13700.200000000004	35865.03	35971.80000000002	28943.30000000001	19564.200000000008	16651.790000000005	22985.94	18659.11	28828.84000000001	12688.14
RXN-16619	8902.589999999998	6.0	5906.82	11228.500000000002	7573.700000000003	11872.45	9117.010000000002	14060.370000000004	11133.64	4218.98	1934.37	6155.9000000000015	6471.840000000001	11133.78	7.0	13702.85	10263.32	6974.950000000002	10166.71	7082.8600000000015	11250.94	10258.06	8578.08	5988.089999999998	3161.14	12573.710000000005	5783.1	10430.55	4543.720000000001	7357.980000000001	8414.53	4305.089999999998	4181.8600000000015	11253.27	10505.340000000002	8523.09	6259.690000000001	5114.16	7238.62	5685.500000000001	9544.0	4579.2
RXN-16620	9091.55	6.0	6190.070000000002	11775.53	8093.090000000001	12492.69	9978.61	14992.930000000002	11247.59	4498.83	1937.6400000000006	6317.620000000003	6728.7400000000025	11629.0	14.0	14355.29	10672.72	6982.800000000001	10307.740000000002	6991.41	10578.31	9736.97	8912.990000000002	6127.69	3200.09	12759.11	5952.530000000002	10759.31	4682.17	7426.820000000002	8705.380000000001	4462.930000000001	4389.130000000001	11662.2	11286.150000000005	8530.849999999999	6352.200000000002	5401.03	7459.979999999999	6057.979999999999	10433.85	4904.8600000000015
RXN-16621	4092.969999999999	2.0	2697.350000000001	3218.49	2196.7400000000007	2484.73	3333.100000000001	3885.41	3484.35	1659.2700000000002	280.92	2042.1600000000005	1720.35	2598.3	4.0	6345.219999999998	4782.76	2219.76	5885.540000000001	3345.1800000000007	5861.05	5515.02	3498.17	2354.58	1010.6799999999997	7130.150000000002	1746.3300000000004	8585.66	1626.5100000000007	2904.57	3214.75	1786.9299999999994	1782.7499999999998	4681.9	5202.02	4148.6500000000015	1925.56	1763.3299999999995	2672.22	2122.51	3143.92	1307.8
RXN-16622	29651.040000000015	16.0	20234.17	33673.94000000002	21193.1	30495.96000000001	26707.63000000001	41206.85	34932.53000000001	15278.54	4535.79	18364.72	18470.91	30235.16	34.0	45261.38999999999	34136.810000000005	22018.370000000006	34539.91	18993.68	30483.86	27346.3	28095.67	18738.750000000004	9864.969999999998	43256.330000000016	17609.47	39194.97	14992.76	23665.31	24687.669999999995	12574.590000000002	13700.200000000004	35865.03	35971.80000000002	28943.30000000001	19564.200000000008	16651.790000000005	22985.94	18659.11	28828.84000000001	12688.14
RXN-16623	8902.589999999998	6.0	5906.82	11228.500000000002	7573.700000000003	11872.45	9117.010000000002	14060.370000000004	11133.64	4218.98	1934.37	6155.9000000000015	6471.840000000001	11133.78	7.0	13702.85	10263.32	6974.950000000002	10166.71	7082.8600000000015	11250.94	10258.06	8578.08	5988.089999999998	3161.14	12573.710000000005	5783.1	10430.55	4543.720000000001	7357.980000000001	8414.53	4305.089999999998	4181.8600000000015	11253.27	10505.340000000002	8523.09	6259.690000000001	5114.16	7238.62	5685.500000000001	9544.0	4579.2
RXN-16624	9091.55	6.0	6190.070000000002	11775.53	8093.090000000001	12492.69	9978.61	14992.930000000002	11247.59	4498.83	1937.6400000000006	6317.620000000003	6728.7400000000025	11629.0	14.0	14355.29	10672.72	6982.800000000001	10307.740000000002	6991.41	10578.31	9736.97	8912.990000000002	6127.69	3200.09	12759.11	5952.530000000002	10759.31	4682.17	7426.820000000002	8705.380000000001	4462.930000000001	4389.130000000001	11662.2	11286.150000000005	8530.849999999999	6352.200000000002	5401.03	7459.979999999999	6057.979999999999	10433.85	4904.8600000000015
RXN-16625	4092.969999999999	2.0	2697.350000000001	3218.49	2196.7400000000007	2484.73	3333.100000000001	3885.41	3484.35	1659.2700000000002	280.92	2042.1600000000005	1720.35	2598.3	4.0	6345.219999999998	4782.76	2219.76	5885.540000000001	3345.1800000000007	5861.05	5515.02	3498.17	2354.58	1010.6799999999997	7130.150000000002	1746.3300000000004	8585.66	1626.5100000000007	2904.57	3214.75	1786.9299999999994	1782.7499999999998	4681.9	5202.02	4148.6500000000015	1925.56	1763.3299999999995	2672.22	2122.51	3143.92	1307.8
RXN-16626	29651.040000000015	16.0	20234.17	33673.94000000002	21193.1	30495.96000000001	26707.63000000001	41206.85	34932.53000000001	15278.54	4535.79	18364.72	18470.91	30235.16	34.0	45261.38999999999	34136.810000000005	22018.370000000006	34539.91	18993.68	30483.86	27346.3	28095.67	18738.750000000004	9864.969999999998	43256.330000000016	17609.47	39194.97	14992.76	23665.31	24687.669999999995	12574.590000000002	13700.200000000004	35865.03	35971.80000000002	28943.30000000001	19564.200000000008	16651.790000000005	22985.94	18659.11	28828.84000000001	12688.14
RXN-16627	8902.589999999998	6.0	5906.82	11228.500000000002	7573.700000000003	11872.45	9117.010000000002	14060.370000000004	11133.64	4218.98	1934.37	6155.9000000000015	6471.840000000001	11133.78	7.0	13702.85	10263.32	6974.950000000002	10166.71	7082.8600000000015	11250.94	10258.06	8578.08	5988.089999999998	3161.14	12573.710000000005	5783.1	10430.55	4543.720000000001	7357.980000000001	8414.53	4305.089999999998	4181.8600000000015	11253.27	10505.340000000002	8523.09	6259.690000000001	5114.16	7238.62	5685.500000000001	9544.0	4579.2
