OD590	CarbonSource	IndivID
0.047	L-Arginine	162
0.041	Pyruvic Acid Methyl Ester	162
0.052	D-Xylose	162
0.043	D-Galacturonic Acid	162
0.038	L-Asparagine	162
0.065	Pyruvic Acid Methyl Ester	162
0.075	D-Xylose	162
0.1	D-Galacturonic Acid	162
0.096	L-Asparagine	162
0.271	Pyruvic Acid Methyl Ester	162
0.052	D-Xylose	162
0.156	D-Galacturonic Acid	162
0.052	L-Asparagine	162
0.045	Tween 40	162
0.039	i-Erythritol	162
0.039	2-Hydroxy Benzoid Acid	162
0.06	L-Phenylalanine	162
0.049	Tween 40	162
0.043	i-Erythritol	162
0.791	2-Hydroxy Benzoid Acid	162
0.146	L-Phenylalanine	162
0.06	Tween 40	162
0.141	i-Erythritol	162
0.331	2-Hydroxy Benzoid Acid	162
0.073	L-Phenylalanine	162
0.05	Tween 80	162
0.104	D-Mannitol	162
0.041	4-Hydroxy Benzoid Acid	162
0.043	L-Serine	162
0.051	Tween 80	162
0.054	D-Mannitol	162
0.136	4-Hydroxy Benzoid Acid	162
0.04	L-Serine	162
0.054	Tween 80	162
0.134	D-Mannitol	162
0.336	4-Hydroxy Benzoid Acid	162
0.048	L-Serine	162
0.043	a-Cyclodextrin	162
0.036	N-Accetyl-D-Glucosamine	162
0.038	y-Amino Butyric Acid	162
0.04	L-Threonine	162
0.04	a-Cyclodextrin	162
0.047	N-Accetyl-D-Glucosamine	162
0.532	y-Amino Butyric Acid	162
0.063	L-Threonine	162
0.221	a-Cyclodextrin	162
0.085	N-Accetyl-D-Glucosamine	162
0.284	y-Amino Butyric Acid	162
0.052	L-Threonine	162
0.049	Glycogen	162
0.055	D-Glucosaminic Acid	162
0.039	Itaconic Acid	162
0.039	Glycyl-L-Glutamic Acid	162
0.11	Glycogen	162
0.045	D-Glucosaminic Acid	162
0.11	Itaconic Acid	162
0.053	Glycyl-L-Glutamic Acid	162
0.142	Glycogen	162
0.106	D-Glucosaminic Acid	162
0.195	Itaconic Acid	162
0.12	Glycyl-L-Glutamic Acid	162
0.041	D-Cellobiose	162
0.037	Glucose-1-Phosphate	162
0.041	a-Keto Butyric Acid	162
0.046	Phenethylamine	162
0.042	D-Cellobiose	162
0.048	Glucose-1-Phosphate	162
0.046	a-Keto Butyric Acid	162
0.053	Phenethylamine	162
0.134	D-Cellobiose	162
0.1	Glucose-1-Phosphate	162
0.209	a-Keto Butyric Acid	162
0.15	Phenethylamine	162
0.044	a-D-Lactose	162
0.04	D,L-a-Glycerol Phosphate	162
0.042	D-Malic Acid	162
0.039	Putrescine	162
0.042	a-D-Lactose	162
0.046	D,L-a-Glycerol Phosphate	162
0.049	D-Malic Acid	162
0.047	Putrescine	162
0.064	a-D-Lactose	162
0.473	D,L-a-Glycerol Phosphate	162
0.192	D-Malic Acid	162
0.238	Putrescine	162
0.057	Water	192
0.048	ß-Methyl-D-Glucoside	192
0.243	D-Galactonic Acid y-Lactone	192
0.633	L-Arginine	192
0.052	Water	192
0.38	ß-Methyl-D-Glucoside	192
0.211	D-Galactonic Acid y-Lactone	192
2.633	L-Arginine	192
0.092	Water	192
0.051	ß-Methyl-D-Glucoside	192
0.063	D-Galactonic Acid y-Lactone	192
0.056	L-Arginine	192
0.311	Pyruvic Acid Methyl Ester	192
0.086	D-Xylose	192
0.093	D-Galacturonic Acid	192
0.048	L-Asparagine	192
1.865	Pyruvic Acid Methyl Ester	192
0.217	D-Xylose	192
1.01	D-Galacturonic Acid	192
0.067	L-Asparagine	192
0.065	Pyruvic Acid Methyl Ester	192
0.061	D-Xylose	192
0.052	D-Galacturonic Acid	192
0.052	L-Asparagine	192
0.138	Tween 40	192
2.925	i-Erythritol	192
0.049	2-Hydroxy Benzoid Acid	192
2.783	L-Phenylalanine	192
0.071	Tween 40	192
0.215	i-Erythritol	192
0.045	2-Hydroxy Benzoid Acid	192
0.069	L-Phenylalanine	192
0.057	Tween 40	192
0.049	i-Erythritol	192
0.081	2-Hydroxy Benzoid Acid	192
0.048	L-Phenylalanine	192
2.669	Tween 80	192
0.043	D-Mannitol	192
0.408	4-Hydroxy Benzoid Acid	192
0.041	L-Serine	192
2.522	Tween 80	192
2.602	D-Mannitol	192
0.045	4-Hydroxy Benzoid Acid	192
0.047	L-Serine	192
0.213	Tween 80	192
